,Strategy 1,Strategy 2,Correlation
51,adx_rsi_ema,ema_stochastic_mtf,0.012
327,ema_stoch_cross,macd_bb_breakout,0.012
556,h1_trend_m5_ema_cross,pin_bar_ema,0.013
577,h1_trend_m5_macd,macd_divergence,0.013
748,macd_bb_breakout,rsi_divergence,0.013
935,supertrend_rsi_ema,trend_mean_reversion,0.013
913,stoch_bb_bounce,stoch_ema_trend,0.013
16,adx_di_ema,h1_trend_m5_macd,0.014
863,parabolic_sar_ema,trend_mean_reversion,0.014
333,ema_stoch_cross,morning_evening_star,0.015
842,morning_evening_star,rsi_divergence_ema,0.015
525,h1_trend_m5_bb,parabolic_sar_ema,0.015
179,cci_ema,pin_bar_ema,0.015
500,h1_adx_m5_ema,stoch_divergence,0.015
42,adx_di_ema,trend_momentum_vol,0.015
851,morning_evening_star,triple_confirm,0.016
602,h1_trend_m5_rsi,macd_bb_breakout,0.016
898,rsi_divergence_ema,trend_mean_reversion,0.016
894,rsi_divergence_ema,stoch_divergence,0.017
599,h1_trend_m5_rsi,ichimoku_cloud_break,0.017
847,morning_evening_star,supertrend_rsi_ema,0.017
824,marubozu_trend,trend_mean_reversion,0.017
317,ema_stoch_cross,h1_trend_m5_bb,0.017
545,h1_trend_m5_ema_cross,ichimoku_cloud_break,0.017
1,adx_di_ema,bb_rsi_bounce,0.018
483,h1_adx_m5_ema,ichimoku_cloud_bounce,0.018
83,bb_rsi_bounce,ema_rsi_cross,0.018
891,rsi_divergence,williams_ema,0.018
373,ema_stochastic,scalp_pullback,0.018
853,morning_evening_star,williams_ema,0.019
482,h1_adx_m5_ema,heikin_ashi_ema,0.019
319,ema_stoch_cross,h1_trend_m5_macd,0.019
194,donchian_rsi,ema_stoch_cross,0.019
868,pin_bar_ema,rsi_divergence,0.019
170,cci_ema,ma_ribbon_pullback,0.02
374,ema_stochastic,stoch_bb_bounce,0.02
368,ema_stochastic,morning_evening_star,0.02
588,h1_trend_m5_macd,stoch_divergence,0.02
37,adx_di_ema,stoch_divergence,0.021
583,h1_trend_m5_macd,pin_bar_ema,0.022
418,ema_stochastic_mtf,williams_ema,0.022
410,ema_stochastic_mtf,stoch_divergence,0.023
